Mean ,SD,Variance,Kurtosis,Median,Mode,sum,Skewness ,max,min,range,RMS, Impulse Factor,Shape factor,k factor,Std error,count,condition 
0.012772,0.437381,0.191302,5.342062,0.014769,-0.008984,153.258346,0.032538,4.004789,-2.741048,6.745836,0.003993,0.437549,313.571589,34.259759,1.752293,12000,A
0.014417,0.41808,0.174791,4.385488,0.01822,0.094777,173.007315,0.032495,2.631105,-2.109695,4.7408,0.003817,0.418311,182.496682,29.014552,1.10062,12000,A
0.014378,0.431913,0.186549,5.562181,0.015721,0.045721,172.5374,0.114481,4.449711,-2.17283,6.622541,0.003943,0.432134,309.478007,30.055013,1.922873,12000,A
0.01363,0.427076,0.182394,4.709016,0.021047,0.052514,163.556063,-0.03993,2.915184,-2.337422,5.252606,0.003899,0.427276,213.885129,31.348952,1.245588,12000,A
0.01205,0.422334,0.178366,4.681749,0.016703,0.086143,144.594708,-0.096269,2.863474,-2.747296,5.61077,0.003855,0.422488,237.641385,35.06254,1.209784,12000,A
0.012392,0.396955,0.157573,3.949061,0.009414,-0.029972,148.709332,0.024806,2.613432,-2.421622,5.035054,0.003624,0.397132,210.889143,32.046274,1.037877,12000,A
0.013633,0.413217,0.170748,5.54548,0.018756,0.025789,163.601049,0.085251,4.369021,-2.470714,6.839736,0.003772,0.413424,320.46407,30.32432,1.806259,12000,A
0.014269,0.408631,0.166979,5.08738,0.017893,0.011594,171.22584,-0.144716,3.345706,-2.771931,6.117637,0.00373,0.408863,234.476721,28.654308,1.367936,12000,A
0.01385,0.438996,0.192717,4.911728,0.020125,-0.009268,166.197093,-0.070698,2.990697,-2.318975,5.309672,0.004007,0.439196,215.938546,31.711465,1.313502,12000,A
0.01299,0.436189,0.190261,4.579413,0.01831,0.065724,155.874027,-0.009393,3.089357,-2.562293,5.65165,0.003982,0.436364,237.834873,33.5936,1.348084,12000,A
0.012162,0.432755,0.187277,5.84159,0.010574,-0.082544,145.946315,-0.011371,3.719817,-3.131284,6.851101,0.00395,0.432908,305.850842,35.59455,1.610338,12000,A
0.01352,0.4881,0.238242,5.062458,0.010247,-0.006571,162.235517,-0.075526,3.111374,-2.827569,5.938942,0.004456,0.488267,230.137544,36.115411,1.519181,12000,A
0.013053,0.435495,0.189656,4.37442,0.012478,0.05868,156.631055,0.018444,3.250259,-2.025078,5.275337,0.003976,0.435672,249.012639,33.37824,1.416048,12000,A
0.013027,0.434665,0.188934,5.245168,0.023725,0.021595,156.32847,-0.115782,3.557605,-2.813585,6.37119,0.003968,0.434843,273.086922,33.379145,1.546998,12000,A
0.012862,0.422174,0.178231,6.215699,0.011526,0.099382,154.347831,0.194176,4.676308,-2.888859,7.565167,0.003854,0.422353,363.566444,32.836438,1.975051,12000,A
0.014719,0.410808,0.168764,5.035555,0.013728,-0.035733,176.628281,-0.011103,3.073588,-2.528792,5.602379,0.00375,0.411055,208.817363,27.926775,1.263413,12000,A
0.014685,0.435338,0.189519,4.968124,0.010306,-0.011067,176.221561,-0.046113,3.368378,-2.508917,5.877295,0.003974,0.435567,229.373365,29.660415,1.467154,12000,A
0.015033,0.420886,0.177145,4.822993,0.014888,0.131835,180.397059,0.145404,3.248058,-2.366758,5.614816,0.003842,0.421137,216.060573,28.01401,1.367878,12000,A
0.01292,0.427542,0.182793,4.833362,0.006944,-0.003103,155.036904,0.143836,3.77962,-3.161156,6.940776,0.003903,0.42772,292.546083,33.105908,1.616618,12000,A
0.014101,0.422763,0.178728,4.428569,0.011318,0.085023,169.212056,0.188445,3.113099,-1.976105,5.089204,0.003859,0.42298,220.771452,29.996446,1.316779,12000,A
0.015329,0.412225,0.16993,4.247459,0.009384,0.021309,183.947988,0.113836,2.880671,-2.463931,5.344602,0.003763,0.412493,187.922967,26.909335,1.188257,12000,A
0.013469,0.410942,0.168874,5.296787,0.014918,0.096283,161.622373,0.100424,3.4981,-3.66362,7.16172,0.003751,0.411146,259.723913,30.526411,1.438229,12000,A
0.014525,0.437492,0.1914,5.973532,0.017209,0.046173,174.305783,0.163815,4.320048,-3.112778,7.432827,0.003994,0.437715,297.411715,30.134299,1.890951,12000,A
0.012723,0.443827,0.196983,4.259365,0.005814,-0.102667,152.680131,0.093766,2.377314,-2.736049,5.113364,0.004052,0.443991,186.846654,34.895775,1.055506,12000,A
0.01448,0.433865,0.188239,5.59212,0.014829,0.074367,173.763034,0.1264,4.696182,-3.204357,7.90054,0.003961,0.434089,324.316333,29.977981,2.03856,12000,A
0.014634,0.445338,0.198326,4.554799,0.014591,-0.001796,175.610559,0.132576,3.777775,-2.082025,5.8598,0.004065,0.44556,258.146795,30.446469,1.683226,12000,A
0.014275,0.443322,0.196534,4.047654,0.014442,0.048377,171.303733,-0.008439,2.691563,-2.758304,5.449867,0.004047,0.443533,188.546688,31.06996,1.193798,12000,A
0.011485,0.456331,0.208238,4.622876,0.010842,0.044906,137.816084,-0.068016,2.710307,-2.674342,5.384649,0.004166,0.456457,235.99337,39.744871,1.237138,12000,A
0.011817,0.426805,0.182162,4.406094,0.016882,0.082449,141.803723,0.044975,3.792473,-1.959503,5.751976,0.003896,0.426951,320.93429,36.130268,1.619198,12000,A
0.013078,0.434931,0.189165,5.094361,0.011288,0.071066,156.935664,0.076131,4.141294,-2.476962,6.618257,0.00397,0.43511,316.661796,33.270416,1.801917,12000,A
0.014758,0.424119,0.179877,4.0168,0.015067,0.121242,177.092067,0.009638,3.08531,-2.455005,5.540315,0.003872,0.424358,209.06483,28.75506,1.309275,12000,A
0.013607,0.410474,0.168489,4.10304,0.013996,-0.065681,163.28323,-0.059413,2.720423,-2.210735,4.931158,0.003747,0.410683,199.929125,30.181873,1.117231,12000,A
0.014247,0.408762,0.167087,3.827323,0.012062,0.125026,170.963897,0.048974,2.622179,-2.422574,5.044754,0.003731,0.408993,184.051438,28.707355,1.072454,12000,A
0.012984,0.420975,0.17722,4.512345,0.009771,0.019619,155.805001,0.09773,3.524222,-2.790378,6.3146,0.003843,0.421158,271.433329,32.4373,1.484254,12000,A
0.01373,0.422,0.178084,4.985951,0.014948,0.021362,164.762833,0.04329,3.450674,-2.959254,6.409928,0.003852,0.422206,251.319331,30.750066,1.456894,12000,A
0.013803,0.425248,0.180836,4.918819,0.019053,0.029222,165.638337,-0.055653,3.407889,-2.572052,5.979942,0.003882,0.425454,246.891346,30.822875,1.449901,12000,A
0.014037,0.427937,0.18313,5.000558,0.014234,0.028219,168.442294,0.105889,3.660907,-2.245903,5.906809,0.003907,0.428149,260.806698,30.501775,1.567414,12000,A
0.016311,0.406517,0.165256,5.595198,0.020035,0.025964,195.728165,0.091382,4.539862,-2.351584,6.891446,0.003711,0.406828,278.336743,24.942399,1.846941,12000,A
